Standard,Year,QUESTION,Primary,Secondary
91173,2020,1,1,1
91173,2020,1,2,1
91173,2020,1,3,1
91173,2020,1,4,1
91173,2020,2,1,1
91173,2020,2,2,1
91173,2020,2,3,1
91173,2020,2,4,1
91173,2020,3,1,1
91173,2020,3,2,1
91173,2020,3,3,1
91173,2020,3,4,1
91262,2023,1,1,1
91262,2023,1,2,1
91262,2023,1,3,1
91262,2023,1,4,1
91262,2023,1,4,2
91262,2023,2,1,1
91262,2023,2,2,1
91262,2023,2,3,1
91262,2023,2,4,1
91262,2023,2,5,1
91262,2023,3,1,1
91262,2023,3,1,2
91262,2023,3,2,1
91262,2023,3,3,1
91262,2023,3,4,1
91261,2023,1,1,1
91261,2023,1,2,1
91261,2023,1,3,1
91261,2023,1,4,1
91261,2023,1,4,2
91261,2023,1,5,1
91261,2023,2,1,1
91261,2023,2,2,1
91261,2023,2,2,2
91261,2023,2,3,1
91261,2023,2,4,1
91261,2023,2,4,2
91261,2023,3,1,1
91261,2023,3,1,2
91261,2023,3,2,1
91261,2023,3,3,1
91261,2023,3,4,1
91261,2023,3,4,2
91261,,,,
91261,,,,